,carat,cut,color,clarity,depth,table,price,volume
143,0.7,2,1,2,60.0,57.0,2767.0,119.161
144,0.71,4,1,1,61.6,55.0,2767.0,117.04089599999999
146,0.71,2,0,2,63.3,59.0,2768.0,109.004544
147,0.73,2,1,1,60.2,56.0,2768.0,120.46179199999999
148,0.7,2,1,1,61.1,58.0,2768.0,112.86266400000001
149,0.7,4,1,1,60.9,57.0,2768.0,115.51680000000002
150,0.71,3,1,1,61.7,59.0,2768.0,113.638707
151,0.74,4,0,1,61.3,56.0,2769.0,121.755564
152,0.71,3,1,2,62.5,60.0,2770.0,111.57168000000001
153,0.73,3,0,2,61.4,59.0,2770.0,119.547648
154,0.76,2,1,1,62.9,57.0,2770.0,122.78563499999998
155,0.76,4,1,1,62.4,57.0,2770.0,121.98458800000002
156,0.71,4,1,1,60.7,56.0,2770.0,117.46565999999997
157,0.73,3,0,2,60.7,58.0,2770.0,121.28007000000001
158,0.73,3,0,2,61.5,58.0,2770.0,118.18837499999998
159,0.73,4,1,1,59.9,57.0,2770.0,123.435552
160,0.73,3,0,2,59.2,59.0,2770.0,121.278896
161,0.72,2,0,3,60.3,56.0,2771.0,118.89177299999997
162,0.73,2,1,1,61.7,60.0,2771.0,120.638124
163,0.71,4,0,2,61.9,57.0,2771.0,117.701076
164,0.79,4,1,1,61.9,55.0,2771.0,130.060032
165,0.73,2,0,3,60.4,59.0,2772.0,121.55899799999999
166,0.8,2,1,1,61.0,57.0,2772.0,133.00190099999998
167,0.58,4,0,3,61.5,55.0,2772.0,97.640928
168,0.58,4,1,3,61.7,56.0,2772.0,94.45293
169,0.71,1,1,2,59.2,61.0,2772.0,117.99983999999999
170,0.75,4,1,1,61.3,56.0,2773.0,124.04339999999999
172,1.17,2,0,1,60.2,61.0,2774.0,194.63451
173,0.6,4,1,2,61.7,55.0,2774.0,98.59184
174,0.7,4,1,1,62.7,55.0,2774.0,116.71945600000001
175,0.83,1,0,2,64.6,54.0,2774.0,130.36842
176,0.74,2,1,2,61.3,61.0,2775.0,120.92304
177,0.72,2,0,2,63.7,56.4,2776.0,115.439858
178,0.71,3,1,2,62.7,58.0,2776.0,116.71945600000001
179,0.71,4,1,2,62.2,57.0,2776.0,115.51629
180,0.54,4,1,3,61.6,56.0,2776.0,89.64269999999999
181,0.54,4,1,3,61.5,57.0,2776.0,89.026552
182,0.72,4,0,1,61.8,56.0,2776.0,116.7595
183,0.72,4,0,1,60.7,56.0,2776.0,118.953234
184,0.72,1,0,2,59.7,60.5,2776.0,117.53584000000001
185,0.71,4,0,1,60.5,56.0,2776.0,116.928
186,0.7,2,1,2,62.7,58.0,2777.0,115.781526
187,0.71,3,1,2,62.1,58.0,2777.0,114.08607
188,0.71,2,1,2,62.8,57.0,2777.0,114.246096
189,0.71,1,1,2,63.8,58.0,2777.0,113.589036
191,0.7,4,1,2,62.1,55.0,2777.0,114.08607
192,0.7,3,1,2,61.1,60.0,2777.0,111.749268
193,0.7,3,1,1,60.0,59.0,2777.0,115.19205
194,0.7,3,1,1,61.2,57.0,2777.0,113.58693600000001
195,0.7,3,1,1,62.7,59.0,2777.0,113.004234
196,0.7,3,1,1,61.0,57.0,2777.0,113.261472
197,0.7,3,1,1,61.0,58.0,2777.0,116.04621599999999
198,0.7,4,1,1,61.4,57.0,2777.0,115.56864
199,0.72,3,1,1,61.8,61.0,2777.0,118.306632
200,0.7,2,1,1,59.9,63.0,2777.0,112.61376000000001
201,0.7,3,1,1,61.3,58.0,2777.0,113.19047200000001
202,0.7,3,1,1,60.5,58.0,2777.0,115.25690399999999
203,0.7,1,1,2,64.1,59.0,2777.0,113.49935999999998
205,0.78,3,1,1,62.4,58.0,2777.0,122.74481999999999
206,0.7,2,1,1,63.2,60.0,2777.0,108.30455999999998
207,0.52,4,1,3,61.3,55.0,2778.0,86.422842
208,0.73,2,0,2,60.8,56.0,2779.0,120.66023999999999
209,0.74,4,1,1,61.7,56.0,2779.0,121.60047999999999
210,0.7,2,1,2,63.6,57.0,2780.0,113.47347000000002
211,0.77,3,0,2,61.2,58.0,2780.0,126.65294000000002
212,0.71,4,1,2,62.1,54.0,2780.0,115.01318399999998
213,0.74,4,0,2,61.5,55.0,2780.0,122.22729399999999
214,0.7,4,0,2,61.4,59.0,2780.0,112.787028
215,1.01,3,1,1,61.8,60.0,2781.0,160.123176
216,0.77,4,0,1,62.2,56.0,2781.0,124.78065600000001
217,0.78,4,0,1,61.2,56.0,2781.0,129.077312
218,0.72,2,0,2,60.6,63.0,2782.0,117.86860799999998
220,0.76,4,0,2,61.3,56.0,2782.0,127.21698000000002
222,0.7,3,1,2,62.9,60.0,2782.0,109.283148
223,0.75,2,1,1,63.1,58.0,2782.0,120.22342200000001
224,0.72,4,1,1,60.8,57.0,2782.0,115.91999999999999
225,0.72,3,1,1,62.7,59.0,2782.0,116.72124600000001
226,0.7,3,1,1,62.8,60.0,2782.0,114.44972800000001
228,0.75,3,1,1,61.4,59.0,2782.0,123.83279999999999
229,0.52,4,1,4,62.2,55.0,2783.0,85.46689199999999
230,0.72,2,1,2,63.0,54.0,2784.0,117.37332000000002
231,0.79,2,0,2,63.7,56.0,2784.0,129.87
232,0.72,2,1,2,63.6,58.0,2787.0,116.26149400000001
233,0.51,4,1,3,62.0,57.0,2787.0,83.68647000000001
234,0.64,4,1,2,61.5,56.0,2787.0,104.84727000000001
235,0.7,2,0,3,60.5,60.0,2788.0,115.25690399999999
236,0.83,2,0,2,61.1,60.0,2788.0,137.74044
237,0.76,4,0,3,61.8,56.0,2788.0,124.30899000000001
238,0.71,1,1,2,63.3,56.0,2788.0,114.686016
240,0.71,4,1,1,62.5,55.0,2788.0,114.52832500000001
241,1.01,0,1,1,64.5,58.0,2788.0,157.415427
242,1.01,3,0,1,62.7,59.0,2788.0,154.245426
243,0.77,1,1,1,64.2,52.0,2789.0,124.708164
244,0.76,1,1,1,63.7,54.0,2789.0,124.6752
245,0.76,3,1,1,60.4,58.0,2789.0,125.889984
246,0.76,3,1,1,61.8,58.0,2789.0,123.11977200000001
247,1.05,2,0,1,63.2,56.0,2789.0,171.209445
248,0.81,4,0,1,61.6,56.0,2789.0,132.396093
249,0.7,4,1,1,61.6,56.0,2789.0,116.1017
250,0.55,4,0,4,60.9,57.0,2789.0,90.10848000000001
251,0.81,1,0,1,61.0,61.0,2789.0,129.51338400000003
252,0.63,3,1,3,62.1,57.0,2789.0,100.20618400000001
253,0.63,3,1,3,60.9,60.0,2789.0,103.24331999999998
254,0.77,3,0,2,61.3,60.0,2789.0,125.23812
256,0.64,4,0,4,61.3,56.0,2790.0,105.414012
257,0.76,3,0,3,58.8,59.0,2790.0,125.09639999999999
258,0.83,4,1,1,62.3,55.0,2790.0,136.94296
259,0.71,3,1,2,60.1,62.0,2790.0,114.59450799999999
260,0.71,3,1,2,61.8,59.0,2790.0,115.09106100000001
261,0.87,2,0,1,63.6,55.8,2791.0,143.29449
262,0.73,4,1,1,62.2,56.0,2791.0,118.774376
263,0.71,3,1,1,59.2,59.0,2792.0,118.206748
264,0.71,3,1,1,61.8,59.0,2792.0,116.0235
265,0.71,4,1,1,61.3,55.0,2792.0,116.17548799999999
266,0.7,3,1,2,62.1,60.0,2792.0,113.88309500000001
267,0.7,3,1,2,60.7,60.0,2792.0,116.32249999999999
268,0.76,3,0,3,59.6,57.0,2792.0,121.560426
269,0.7,4,1,2,62.2,56.0,2792.0,115.53971999999999
270,0.79,2,0,1,60.6,57.0,2793.0,132.27161999999998
271,0.7,2,1,2,62.9,57.0,2793.0,114.97327800000001
272,0.7,1,1,2,64.1,55.0,2793.0,114.42255999999999
273,0.76,4,0,2,61.3,56.0,2793.0,125.23703700000002
274,0.73,4,0,2,62.7,55.0,2793.0,118.60991999999999
275,0.79,2,1,1,63.2,56.0,2794.0,128.83327200000002
276,0.71,2,1,2,60.7,56.0,2795.0,119.364126
277,0.81,3,0,3,61.9,60.0,2795.0,126.06266400000001
278,0.81,4,1,1,62.6,55.0,2795.0,131.25350400000002
279,0.72,1,1,2,60.7,60.0,2795.0,114.258144
280,0.72,3,1,1,62.0,60.0,2795.0,115.41709800000001
281,0.72,3,0,4,63.0,57.0,2795.0,117.3744
283,0.72,3,0,2,62.9,57.0,2795.0,115.90071000000002
285,0.73,1,1,1,63.2,58.0,2796.0,118.85184000000001
286,0.81,2,0,1,61.3,59.0,2797.0,130.659804
287,0.81,2,1,1,60.3,60.0,2797.0,135.88909
288,0.71,3,1,1,62.7,60.0,2797.0,115.581249
289,0.71,3,1,1,61.3,58.0,2797.0,115.97520000000002
290,0.71,3,1,1,61.6,60.0,2797.0,114.96531200000001
291,0.57,4,1,3,61.9,55.0,2797.0,94.56339
292,0.51,4,1,3,61.7,56.0,2797.0,83.748864
293,0.72,4,0,2,61.9,58.0,2797.0,116.7595
294,0.74,4,0,2,61.8,58.0,2797.0,120.01484599999999
295,0.74,4,0,2,61.6,56.0,2797.0,121.054836
297,0.8,3,1,1,61.0,57.0,2797.0,133.00190099999998
299,0.8,2,0,2,63.4,60.0,2797.0,128.170368
300,0.77,4,0,2,61.5,59.0,2798.0,125.58395400000002
302,0.82,4,1,1,62.4,54.0,2799.0,134.413356
303,0.78,4,1,1,61.9,57.0,2799.0,126.06266400000001
304,0.6,2,0,4,61.6,56.0,2800.0,99.32012999999999
305,0.9,1,0,1,62.2,59.0,2800.0,140.562383
306,0.7,3,1,2,62.2,58.0,2800.0,110.93599999999999
307,0.9,2,0,1,61.3,56.0,2800.0,146.06858
308,0.83,4,0,1,62.3,57.0,2800.0,136.936192
309,0.83,4,0,1,61.8,57.0,2800.0,136.891854
310,0.83,2,0,1,62.5,59.0,2800.0,133.96305999999998
311,0.74,3,0,2,62.9,60.0,2800.0,117.045488
312,0.79,4,0,2,61.8,59.0,2800.0,129.27208000000002
313,0.61,4,0,4,62.3,56.0,2800.0,100.321965
315,0.96,4,1,1,60.7,55.0,2801.0,158.426996
316,0.73,4,1,2,62.5,55.0,2801.0,120.60288
317,0.73,3,1,2,62.7,58.0,2801.0,117.86688
318,0.75,4,0,1,60.4,57.0,2801.0,126.88065199999998
319,0.71,3,1,2,62.1,58.0,2801.0,114.08607
321,0.71,1,1,2,63.8,58.0,2801.0,113.589036
322,0.71,3,1,2,62.8,57.0,2801.0,114.246096
323,1.04,3,0,1,62.2,58.0,2801.0,165.6344
324,1.0,3,0,1,62.3,58.0,2801.0,162.75414
325,0.87,2,0,1,59.9,58.0,2802.0,143.45696400000003
326,0.53,4,1,4,61.9,54.0,2802.0,88.7922
327,0.72,3,1,2,63.0,55.0,2802.0,116.610021
328,0.72,3,1,2,62.4,58.0,2802.0,119.6316
329,0.7,2,1,2,62.9,58.0,2803.0,112.92372499999999
330,0.74,2,1,1,63.5,56.0,2803.0,121.638636
331,0.71,4,0,2,61.3,56.0,2803.0,115.242075
332,0.73,4,1,1,60.6,54.0,2803.0,122.11147999999999
334,0.71,3,1,2,62.6,58.0,2803.0,115.05564000000001
336,0.71,3,0,2,62.4,61.0,2803.0,114.00570000000002
337,0.77,3,0,2,61.3,57.0,2803.0,126.22360800000001
338,0.71,3,0,2,59.9,60.0,2803.0,116.327239
339,0.78,3,0,2,60.8,58.0,2803.0,130.59774000000002
340,0.71,2,0,2,63.5,55.0,2803.0,114.601416
341,0.91,4,1,1,62.2,57.0,2803.0,147.03727500000002
342,0.71,2,1,2,63.8,58.0,2804.0,114.51312
343,0.71,2,1,2,64.0,57.0,2804.0,116.700144
344,0.8,2,1,1,62.5,56.0,2804.0,129.66576
345,0.7,2,1,1,62.3,58.0,2804.0,116.06917200000001
346,0.72,4,1,2,61.7,57.0,2804.0,117.57528999999998
347,0.72,2,1,2,62.2,58.0,2804.0,116.679
348,0.82,4,0,2,61.5,56.0,2804.0,135.93177599999999
349,0.7,4,1,1,61.0,59.0,2804.0,112.34472
350,0.72,4,1,1,62.2,56.0,2804.0,118.568884
351,0.72,4,1,1,61.5,54.0,2804.0,119.13895999999998
353,0.74,3,1,2,61.7,58.0,2805.0,121.38867
354,0.74,3,1,2,61.9,56.0,2805.0,119.80827999999998
355,0.73,4,1,1,61.8,58.0,2805.0,120.01484599999999
357,0.73,3,1,2,62.5,57.0,2805.0,117.33449999999999
358,0.72,4,0,2,62.8,56.0,2805.0,117.45762
360,0.82,1,0,2,64.0,57.0,2805.0,131.80406399999998
361,0.81,2,0,1,62.5,60.0,2806.0,129.10055400000002
362,0.75,2,0,3,60.6,58.0,2806.0,122.8734
363,0.7,4,1,1,61.6,55.0,2806.0,115.89978399999998
364,0.71,2,1,2,62.2,58.0,2807.0,114.608208
365,0.71,2,1,2,60.0,57.0,2807.0,121.28512
366,0.93,3,0,1,61.9,57.0,2807.0,147.609216
367,0.8,2,0,2,62.8,57.0,2808.0,128.35929000000002
368,0.7,2,1,2,62.0,57.0,2808.0,113.359488
370,0.75,2,0,2,63.4,56.0,2808.0,121.09678
371,0.58,4,1,3,60.9,56.0,2808.0,96.94179
372,0.73,2,1,1,63.1,57.0,2808.0,118.11198
373,0.81,2,1,1,63.1,59.0,2809.0,124.308405
374,0.81,3,1,1,59.2,57.0,2809.0,134.319075
375,0.71,3,1,1,60.7,54.0,2809.0,119.56815999999999
376,1.2,0,1,1,64.6,56.0,2809.0,194.078394
377,0.7,2,1,2,61.8,56.0,2810.0,112.3185
378,0.7,2,1,2,59.9,60.0,2810.0,117.26486399999999
379,0.74,4,1,1,61.7,55.0,2810.0,122.35859999999998
380,0.7,1,1,2,62.8,61.0,2810.0,109.679427
381,0.8,1,0,1,62.7,57.0,2810.0,127.78912799999999
382,0.75,2,1,1,63.4,58.0,2811.0,119.92780799999998
383,0.83,2,1,1,63.5,54.0,2811.0,134.85199
386,0.7,2,0,2,63.0,60.0,2812.0,110.89424399999999
387,0.7,2,1,2,59.5,58.0,2812.0,116.049375
388,0.7,1,1,1,63.5,59.0,2812.0,106.25895000000001
389,0.7,2,1,2,61.7,58.0,2812.0,111.80110300000001
390,0.32,3,0,1,62.7,58.0,554.0,51.776634
391,0.32,3,0,1,62.8,58.0,554.0,52.204124
392,0.32,4,0,1,62.4,57.0,554.0,51.70584
393,0.32,3,0,1,61.0,59.0,554.0,51.104867999999996
394,0.32,2,0,1,63.1,56.0,554.0,52.827504
395,0.32,4,0,1,60.7,57.0,554.0,53.34497999999999
396,0.3,3,0,1,60.9,59.0,554.0,48.443538
397,0.3,3,0,1,60.1,55.0,554.0,50.993712
398,0.3,3,0,1,62.9,58.0,554.0,48.634496000000006
399,0.3,2,0,1,63.3,56.0,554.0,49.64259299999999
400,0.3,1,0,1,63.8,55.0,554.0,48.3084
401,0.3,4,0,1,62.9,57.0,554.0,48.11179799999999
402,0.3,2,0,1,63.4,60.0,554.0,48.359475
403,0.32,1,0,1,63.9,55.0,554.0,52.604271999999995
404,0.33,4,0,1,61.4,56.0,554.0,68.53292499999999
405,0.29,2,1,2,61.9,55.0,555.0,49.29618400000001
406,0.29,2,1,2,62.4,55.0,555.0,46.9455
407,0.31,2,1,1,61.8,58.0,555.0,50.362559999999995
408,0.34,4,0,2,61.5,56.0,555.0,55.51739999999999
409,0.34,4,0,2,60.4,57.0,555.0,57.056450000000005
410,0.34,4,0,2,61.8,55.0,555.0,56.293887999999995
411,0.34,4,0,2,62.0,56.0,555.0,57.078
412,0.3,4,0,2,62.3,56.0,555.0,49.552932
413,0.29,4,1,2,61.6,56.0,555.0,48.471984
414,0.35,4,0,1,60.6,56.0,555.0,57.850896
416,0.32,2,1,2,61.4,58.0,556.0,52.15158
417,0.36,4,0,2,61.9,56.0,556.0,58.508796000000004
418,0.3,4,0,2,62.0,56.0,556.0,48.954640000000005
419,0.26,4,1,2,61.5,57.0,556.0,42.464016
420,0.7,2,1,2,62.3,58.0,2812.0,114.20323199999999
421,0.7,2,1,2,60.9,61.0,2812.0,111.82235600000001
422,0.71,4,1,1,62.4,57.0,2812.0,115.866608
425,0.51,4,1,3,62.0,57.0,2812.0,83.68647000000001
426,0.91,3,0,1,59.8,58.0,2813.0,149.39379000000002
427,0.84,2,1,1,63.4,55.0,2813.0,135.30300000000003
428,0.91,1,0,2,64.3,58.0,2813.0,143.69355
429,0.76,3,1,1,62.2,59.0,2814.0,123.58915799999998
430,0.76,4,1,1,61.7,57.0,2814.0,124.52076
431,0.75,3,1,1,61.1,59.0,2814.0,121.964766
432,0.55,2,1,3,61.5,56.0,2815.0,89.025583
434,0.74,3,0,2,61.7,58.0,2815.0,120.430842
435,0.7,4,0,1,60.4,56.0,2815.0,116.592175
436,0.7,4,0,1,61.4,56.0,2815.0,115.56864
437,0.7,4,0,1,61.5,55.0,2815.0,117.44551800000002
438,0.7,4,0,1,61.4,56.0,2815.0,116.50553199999999
441,0.89,3,0,1,60.2,59.0,2815.0,146.63924799999998
444,1.02,3,0,1,60.3,58.0,2815.0,167.7455
445,0.78,2,0,3,61.4,56.0,2816.0,127.99878000000002
446,0.61,4,0,3,60.1,57.0,2816.0,101.52825599999998
447,0.71,1,1,2,63.4,55.0,2816.0,114.27682200000001
448,0.78,3,1,1,61.5,59.0,2816.0,127.563072
449,0.87,4,0,1,62.7,56.0,2816.0,145.37908000000002
450,0.83,4,0,1,62.5,55.0,2816.0,136.2624
451,0.71,3,1,1,61.3,56.0,2817.0,116.91148200000002
452,0.71,4,0,3,60.2,56.0,2817.0,121.42352799999998
453,0.71,4,1,2,62.7,57.0,2817.0,113.005296
454,0.71,3,1,2,62.3,58.0,2817.0,113.48420500000002
455,0.63,4,1,3,61.5,56.0,2817.0,102.243648
456,0.71,3,1,1,59.2,59.0,2817.0,118.206748
457,0.71,3,1,1,61.8,59.0,2817.0,116.0235
458,0.71,4,1,1,61.3,55.0,2817.0,116.17548799999999
459,0.71,3,1,1,61.4,58.0,2817.0,116.70921299999999
460,0.9,4,0,2,62.8,55.0,2817.0,148.18496
462,0.7,3,1,2,62.4,61.0,2818.0,112.167616
463,0.7,3,1,2,59.3,60.0,2818.0,112.93715400000002
464,0.7,3,1,2,63.0,60.0,2818.0,111.80735999999999
465,1.0,3,0,1,61.3,60.0,2818.0,161.474661
466,0.86,3,1,1,59.3,62.0,2818.0,147.555816
467,0.8,4,0,1,61.0,57.0,2818.0,134.02560000000003
468,0.7,4,1,2,62.9,57.0,2818.0,112.40420400000001
469,0.7,3,1,2,59.6,57.0,2818.0,120.59355000000001
470,0.7,3,1,2,61.8,60.0,2818.0,112.3206
471,0.7,3,1,2,62.7,57.0,2818.0,113.72495999999998
473,0.72,2,0,2,63.8,58.0,2819.0,115.64707199999998
474,0.72,4,0,2,62.3,56.0,2819.0,118.362318
475,0.7,1,1,2,59.7,63.0,2819.0,115.05888
476,0.86,1,1,1,64.3,60.0,2819.0,136.04734499999998
477,0.71,4,0,2,62.9,58.0,2820.0,114.97327800000001
478,0.75,4,1,1,62.0,57.0,2821.0,120.35116
479,0.73,3,1,2,61.6,59.0,2821.0,117.039834
480,0.53,4,1,3,61.9,55.0,2821.0,87.23624000000001
481,0.73,3,1,1,61.3,58.0,2821.0,119.21183999999998
482,0.73,1,1,1,63.6,57.0,2821.0,118.35252
483,0.73,3,1,1,59.6,61.0,2821.0,121.55831999999998
484,0.73,3,1,1,62.2,59.0,2821.0,116.67401599999998
485,0.73,3,1,1,61.7,55.0,2821.0,122.35968
486,0.73,2,1,1,63.2,58.0,2821.0,118.85184000000001
487,0.7,3,1,2,60.8,60.0,2822.0,114.058392
488,0.72,3,1,2,60.3,59.0,2822.0,118.89071999999999
489,0.72,3,1,2,60.9,60.0,2822.0,117.59616000000001
490,0.72,3,1,2,62.4,59.0,2822.0,117.74261999999999
491,0.7,3,1,2,60.2,60.0,2822.0,112.35384
